"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"10 644 results found for (ti=""smart glasses"" OR ti=""smart eyewear"" OR ti=""audio glasses"" OR ti=""hearing glasses"" OR ti=""AR glasses"" OR ti=""augmented reality glasses"" OR ti=""intelligent eyewear"" OR ti=""head mounted display"") AND (txt=""wearable"" OR txt=""augmented reality"" OR txt=""mixed reality"" OR txt=""display"" OR txt=""sensor"" OR txt=""connectivity"" OR txt=""heads-up"" OR txt=""hands-free"" OR txt=""beamforming"") NOT (ti=""contact lens"" OR ti=""VR headset"" OR ti=""virtual reality headset"")";"";"";"";"";"";"";"";"";
"Results 1 to 500 displayed";"";"";"";"";"";"";"";"";
"Query language: en";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"114";"Augmented reality glasses";"WANG JING 
SU PENGHUA 
PENG YAPEI 
SONG QIANG 
MA GUOBIN 
WANG TAO";"SHENZHEN LOCHN OPTICS TECH CO LTD";"CN209086563U";"2018-12-29";"G02B27/01 
H02J7/35";"";"2019-07-09";"2019-07-09";"067127700";
"115";"Augmented reality glasses with X-ray effect";"BROWN EDMUND 
LUCAS BENJAMIN 
NIELSEN SIMON 
RODRIGUEZ JONATHAN M II 
CHUANG RICHARD";"SNAP INC";"CN117581147A";"2021-06-30";"G02B27/01";"G02B27/0172 (US) 
H04N13/239 (US) 
H04N13/296 (US) 
H04N13/344 (US) 
H04N13/383 (US) 
H04N23/57 (EP) 
H04N23/66 (EP) 
H04N23/695 (EP) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0141 (EP) 
G02B2027/0178 (EP,US) 
G02B27/017 (EP) 
H04N2213/001 (US) 
H04N2213/008 (US) 
H04N23/63 (EP)";"2024-02-20";"2023-01-05";"082547006";
"116";"Head-mounted display device with a camera imaging eye microsaccades";"STEMPORA JEFFREY [US]";"STEMPORA JEFFREY [US] 
ADVANCED INSURANCE PRODUCTS & SERVICES INC [US]";"US2017146801A1";"2013-07-15";"G02B27/00 
G02B27/01 
G06K9/00 
G06Q40/08";"G02B27/0093 (US) 
G02B27/0172 (US) 
G06Q10/063 (EP,US) 
G06Q10/0639 (EP,US) 
G06Q40/08 (EP,US) 
G06V40/193 (US) 
G06V40/197 (US) 
G02B2027/0118 (US) 
G02B2027/0138 (US) 
G02B2027/014 (US) 
G02B2027/0141 (US)";"2017-05-25";"2015-01-22";"052344287";
"117";"Smart glasses with augmented reality";"LUO LING 
ZHOU DAYONG 
FAN GANG";"FUJIAN TAIER ELECTRONIC POLYTRON TECH LNC";"CN105527711A";"2016-01-20";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0138 (CN) 
G02B2027/0141 (CN) 
G02B2027/0178 (CN)";"2016-04-27";"2016-04-27";"055770036";
"118";"AUGMENTED-REALITY GLASSES TEMPLE ARM COMPONENTS, ARRANGEMENTS, AND ASSEMBLIES, AND SYSTEMS AND METHODS OF USE THEREOF";"BOBUK AARON [US] 
NELSON AARON TYLER [US] 
GILSON LUKE JONATHAN [US] 
BAKER TREVIN [US] 
SHI YIXING [US]";"META PLATFORMS TECH LLC [US]";"US2025164810A1";"2023-11-21";"G02B27/01 
G06T19/00";"G02B27/0176 (EP,US) 
G06T19/006 (US) 
G02B2027/0178 (EP,US)";"2025-05-22";"2025-05-22";"095716262";
"119";"Augmented reality head-mounted display device";"CHEN JIANYU";"HONGJIANYU MEDICAL INVEST CO LTD";"CN217385999U";"2022-01-25";"G02B27/01";"";"2022-09-06";"2022-09-06";"083097079";
"120";"AUGMENTED REALITY GLASSES THAT PROCESSES MULTI-MODAL DATA OFFLINE AND PROVIDES RESULTS AND ITS OPERATING METHOD";"CHIWON CHOI 
KIM TAE RYEON";"P&C SOLUTION CO LTD [KR]";"KR102667192B1";"2023-07-04";"G02B27/01 
G06F3/01 
G06F3/16 
G06F40/20 
G06Q50/10 
G06T19/00 
G06V40/10 
H04W4/80";"";"2024-05-22";"2024-05-22";"091329621";
"121";"Augmented reality head-mounted display, system and device";"LEEDS VINCENT";"LEEDS VINCENT";"CN119522394A";"2022-05-23";"G02B27/01 
G02C9/02";"G02B27/017 (EP) 
G02B27/0172 (EP) 
G02B27/0179 (EP) 
G02C11/10 (EP) 
G02C3/003 (EP) 
G02B2027/0138 (EP) 
G02B2027/0156 (EP) 
G02C11/12 (EP) 
G02C9/02 (EP)";"2025-02-25";"2023-11-30";"086710707";
"122";"Augmented reality glasses";"WANG JING 
SU PENGHUA 
PENG YAPEI 
SONG QIANG 
MA GUOBIN 
WANG TAO";"SHENZHEN LOCHN OPTICS TECH CO LTD";"CN110146981A";"2018-12-29";"G02B27/01 
H02J7/35";"G02B27/0172 (CN) 
G02B27/0176 (CN) 
H02J7/35 (CN) 
G02B2027/0178 (CN)";"2019-08-20";"2019-08-20";"067588589";
"123";"Modularized Augmented Reality Glasses";"IM CHAE YEOL [KR]";"KAY VISION INC [KR]";"KR102322436B1 
KR20210068200A";"2019-11-29";"G02B27/01";"G02B27/017 (KR) 
G02B2027/014 (KR)";"2021-06-09 
2021-11-08";"2021-06-09";"076415268";
"124";"RF Beamforming for Head Mounted Display";"TOKUBO TODD [US]";"SONY INTERACTIVE ENTERTAINMENT INC [JP]";"US10514754B2 
US2019138087A1";"2016-09-30";"A63F13/211 
A63F13/212 
A63F13/213 
A63F13/235 
A63F13/25 
A63F13/327 
A63F13/332 
A63F13/5255 
A63F13/53 
G02B27/01 
G06F3/01 
G06F3/03 
H04B7/04 
H04B7/06";"A63F13/211 (EP,US) 
A63F13/212 (EP,US) 
A63F13/213 (EP,US) 
A63F13/235 (EP,US) 
A63F13/25 (EP,US) 
A63F13/327 (EP,US) 
A63F13/332 (EP,US) 
A63F13/5255 (EP,US) 
A63F13/53 (EP,US) 
G02B27/017 (EP,US) 
G02B27/0172 (US) 
G06F3/011 (EP,US) 
G06F3/012 (EP,US) 
G06F3/0304 (EP,US) 
H04B7/0617 (EP,US) 
A63F2300/8082 (US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0187 (EP,US) 
G06F2203/0384 (EP,US)";"2019-05-09 
2019-12-24";"2018-04-05";"061757512";
"125";"AUGMENTED REALITY GLASSES PROVIDING PANORAMIC MULTI-SCREENS AND PANORAMIC MULTI-SCREEN PROVISION METHOD FOR AUGMENTED REALITY GLASSES";"CHOI CHIWON [KR] 
CHOI JIWOONG [KR]";"P&C SOLUTION [KR]";"WO2022231224A1";"2021-04-28";"G02B27/00 
G02B27/01 
G06T19/00";"G02B27/00 (EP) 
G02B27/0093 (KR) 
G02B27/01 (EP) 
G02B27/0172 (KR) 
G06T19/00 (EP) 
G06T19/006 (KR) 
G02B2027/014 (KR) 
G02B2027/0178 (KR)";"2022-11-03";"2022-11-03";"083848214";
"126";"DISPLAY MODULE AND AUGMENTED REALITY GLASSES";"DU PENG [CN]";"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP LTD [CN]";"US12282173B2 
US2022283441A1";"2019-11-29";"G02B27/01 
G02B27/09 
G02B27/44 
G06T19/00";"G02B27/0081 (EP) 
G02B27/0101 (US) 
G02B27/017 (EP) 
G02B27/0172 (CN,US) 
G02B27/0176 (EP,US) 
G02B27/0944 (US) 
G02B27/44 (US) 
G06T19/006 (US) 
G02B2027/0125 (EP) 
G02B2027/0138 (US) 
G02B2027/014 (US) 
G02B2027/0174 (EP) 
G02B2027/0178 (CN,US) 
G02B27/0172 (EP)";"2022-09-08 
2025-04-22";"2020-03-24";"069820776";
"127";"METHODS FOR MANAGING REPAIR OF VEHICLE DAMAGE WITH HEAD MOUNTED DISPLAY DEVICE AND DEVICES THEREOF";"CANNARSA UMBERTO LAURENT [US] 
BACHMAN JOHN ANTHONY [US] 
KOVAR DANIEL JAKE [US]";"MITCHELL INT INC [US]";"US2021090461A1";"2019-09-23";"G06K9/00 
G06K9/32 
G09B19/00 
G09B5/02";"G06Q10/20 (EP) 
G06V20/20 (EP,US) 
G06V20/63 (US) 
G09B19/003 (EP,US) 
G09B5/02 (US) 
G06V20/625 (US) 
G09B5/065 (US)";"2021-03-25";"2021-03-23";"074882043";
"128";"A HEAD MOUNTED DISPLAY APPARATUS WITH NIGHT VISION FUNCTION";"CHIWON CHOI 
YOUNGHEON BAE 
HEEJAE CHEONG 
LEE WONSEOK";"P&C SOLUTION [KR]";"KR102254174B1";"2019-12-10";"F41G1/32 
F41G3/06 
G02B27/01";"F41G1/32 (KR) 
F41G3/06 (KR) 
G02B27/0172 (KR) 
G02B27/0176 (KR)";"2021-05-20";"2021-05-20";"076142655";
"129";"Augmented reality glasses";"LIANG WENLONG 
LI CHUANQING";"SHANGHAI YISHI HAOTONG INFORMATION TECH CO LTD";"CN213182202U";"2020-10-14";"A61B5/11 
G02B27/01";"";"2021-05-11";"2021-05-11";"075778876";
"130";"Motor vehicle control device has viewing direction sensor such as position sensor that is arranged at augmented reality glasses, to detect movements of head";"FRANZ STEFAN [DE] 
KRUEGER LARS [DE] 
SCHWEIGER ROLAND [DE]";"DAIMLER AG [DE]";"DE102013005342A1";"2013-03-26";"B60R16/02";"B60R16/02 (EP) 
G02B2027/0187 (EP)";"2013-09-19";"2013-09-19";"049044093";
"131";"HEAD MOUNTED DISPLAY DEVICE FOR PROVIDING AN AUGMENTED REALITY";"LEE KYEONG HEE 
YANG JEONG WON";"KERI KOREA ELECTROTECHNOLOGY RES INST [KR]";"KR20200079876A";"2018-12-26";"G02B27/01 
G02B27/10 
G02B30/00 
G02B5/20";"G02B27/0172 (KR) 
G02B27/1006 (KR) 
G02B5/20 (KR)";"2020-07-06";"2020-07-06";"071571372";
"132";"Augmented reality display optical system and augmented reality glasses";"";"SHENZHEN SKYWORTH XINSHIJIE TECH CO LTD";"CN107831593A 
CN107831593B";"2017-12-08";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2018-03-23 
2024-07-02";"2018-03-23";"061642544";
"133";"IMAGING MODIFICATION, DISPLAY AND VISUALIZATION USING AUGMENTED AND VIRTUAL REALITY EYEWEAR";"ROBAINA NASTASJA U [US] 
SAMEC NICOLE ELIZABETH [US] 
HARRISES CHRISTOPHER M [US] 
ABOVITZ RONY [US] 
BAERENRODT MARK [US] 
SCHMIDT BRIAN LLOYD [US]";"MAGIC LEAP INC [US]";"EP4345831A2 
EP4345831A3 
EP4345831B1";"2016-07-25";"G16H20/40 
A61B34/00 
A61B90/00 
G02B27/01 
G06F3/01 
G06F3/03 
B60K35/10 
B60K35/22 
B60K35/26 
B60K35/28 
B60K35/60 
B60K35/80 
B60K35/90 
A61B17/00 
A61B34/20 
A61B90/50";"A61B34/00 (IL) 
A61B34/25 (EP,IL,US) 
A61B90/36 (EP,IL,US) 
A61B90/37 (EP,IL,US) 
B60K35/10 (EP,IL,KR,US) 
B60K35/22 (EP,IL,KR,US) 
B60K35/26 (EP,IL,KR,US) 
B60K35/28 (EP,IL,KR,US) 
B60K35/60 (EP,IL,KR,US) 
B60K35/80 (EP,IL,KR,US) 
B60K35/90 (EP,IL,KR,US) 
G02B27/0093 (KR) 
G02B27/01 (EP,IL,US) 
G02B27/0172 (EP,IL,KR,US) 
G06F3/011 (EP,IL,US) 
G06F3/012 (EP,IL,KR,US) 
G06F3/013 (EP,IL,KR,US) 
G06F3/017 (EP,IL,KR,US) 
G06F3/0304 (EP,IL,KR,US) 
G06T19/006 (IL,KR,US) 
G06T19/20 (IL,KR) 
G16H20/40 (EP,IL) 
A61B2017/00203 (EP,IL,US) 
A61B2017/00207 (EP,IL,US) 
A61B2017/00216 (EP,IL,US) 
A61B2034/2048 (EP,IL,US) 
A61B2034/254 (EP,IL,US) 
A61B2034/258 (EP,IL,US) 
A61B2090/365 (EP,IL,US) 
A61B2090/367 (EP,IL,US) 
A61B2090/368 (EP,IL,US) 
A61B2090/371 (EP,IL,US) 
A61B2090/372 (EP,IL,US) 
A61B2090/378 (EP,IL,US) 
A61B2090/502 (EP,IL,US)";"2024-04-03 
2024-04-24 
2026-03-25";"2018-02-01";"061016802";
"134";"HEAD MOUNTED DISPLAY BASED AUGMENTED REALITY";"OH IN SU 
KOO SEONG WAN 
LEE SUN CHAN 
LEE CHEOLGYU";"KOREA WESTERN POWER CO LTD [KR] 
GES ENG CO LTD [KR]";"KR20220041981A";"2020-09-25";"G02B27/01 
G06T19/00";"G02B27/0172 (KR) 
G06T19/006 (KR) 
G02B2027/014 (KR) 
G02B2027/0141 (KR) 
G02B2027/0178 (KR)";"2022-04-04";"2022-04-04";"081182587";
"135";"SELF-CONTAINED MIXED REALITY HEAD MOUNTED DISPLAY";"EDWARDS JONATHAN DANA [US] 
HUANG TIEN-HAN [US] 
POWERS JEFFREY ROGER [US]";"OCCIPITAL INC [US]";"US10502363B2 
US2017337737A1";"2016-05-17";"G02B7/14 
G06F3/00 
G06T19/00 
F16M13/04 
G02B27/01";"F16M13/04 (EP,US) 
G02B27/017 (EP) 
G02B27/0176 (EP) 
G02B2027/0136 (EP) 
G02B2027/0138 (EP)";"2017-11-23 
2019-12-10";"2017-11-23";"060330259";
"136";"HEAD MOUNTED DISPLAY";"MIKHAILOV ANTON [US] 
MAO XIADONG [US]";"SONY INTERACTIVE ENTERTAINMENT INC [JP]";"US11504609B2 
US2021245041A1";"2013-06-09";"A63F13/00 
A63F13/211 
A63F13/212 
A63F13/213 
A63F13/26 
A63F13/285 
A63F13/42 
A63F13/5255 
G02B27/01 
G06F3/01 
G06T19/00 
G09G3/00 
G09G3/34 
H04N13/254 
H04N13/271 
G06F3/12 
A63F13/803";"A63F13/00 (US) 
A63F13/211 (EP,US) 
A63F13/212 (EP,US) 
A63F13/213 (EP,US) 
A63F13/26 (EP,US) 
A63F13/285 (EP,US) 
A63F13/42 (EP,US) 
A63F13/5255 (EP,US) 
G02B27/017 (EP,US) 
G02B27/0176 (US) 
G02B27/0179 (US) 
G06F3/012 (EP,US) 
G06F3/013 (EP,US) 
G06T19/006 (US) 
G09G3/001 (US) 
G09G3/3406 (US) 
G09G3/3413 (US) 
H04N13/254 (EP,US) 
H04N13/271 (EP,US) 
A63F13/803 (EP,US) 
A63F2300/301 (US) 
A63F2300/8082 (EP,US) 
G02B2027/0112 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/0187 (EP,US) 
G09G2320/0233 (US) 
G09G2320/0626 (US)";"2021-08-12 
2022-11-22";"2014-12-11";"051136796";
"137";"AUGMENTED-REALITY GLASSES TEMPLE ARM COMPONENTS, ARRANGEMENTS, AND ASSEMBLIES, AND SYSTEMS AND METHODS OF USE THEREOF";"BOBUK AARON [US] 
NELSON AARON TYLER [US] 
GILSON LUKE JONATHAN [US] 
BAKER TREVIN [US] 
SHI YIXING [US]";"META PLATFORMS TECH LLC [US]";"WO2025111171A1";"2023-11-21";"G02C11/00 
G02C5/22 
G06F1/16";"G02B27/0176 (EP) 
G02C11/10 (EP) 
G02C5/22 (EP) 
G06F1/163 (EP) 
G02B2027/0178 (EP)";"2025-05-30";"2025-05-30";"093796788";
"138";"Multi -functional augmented reality glasses";"WANG JUN";"SHENZHEN PENG NETWORK TECH CO LTD";"CN207096575U";"2017-06-30";"G02B27/01";"";"2018-03-13";"2018-03-13";"061554757";
"139";"Head-mounted display, field-of-view correction method and mixed reality display system";"ZHENG ZHENRU 
SHI WEIGUO 
HE YOU";"ACER INC";"CN108572450A 
CN108572450B";"2017-03-09";"G02B27/01";"G02B27/017 (CN) 
G02B2027/0187 (CN)";"2018-09-25 
2021-01-29";"2018-09-25";"063578147";
"140";"System and method for calibrating of head mounted display based simulated augmented reality";"HA HO GUN 
LEE HYUN KI 
GU KYEONG MO 
RAGU VASANTH 
JEUNG DEOK GI";"DAEGU GYEONGBUK INST SCIENCE & TECH [KR]";"KR20240166919A";"2023-05-18";"G02B27/01 
G06T19/00 
G06T7/246 
G06T7/73 
G06T7/80";"G02B27/017 (KR) 
G06T19/006 (KR) 
G06T7/246 (KR) 
G06T7/73 (KR) 
G06T7/85 (KR) 
G06T2207/30204 (KR)";"2024-11-26";"2024-11-26";"093704304";
"141";"DEVELOPING SOURCE CODE LEVERAGING SMART GLASSES";"SINGH SHAILENDRA [IN]";"BANK OF AMERICA [US]";"US11650798B2 
US2022382523A1";"2021-05-28";"G02C9/00 
G06F21/57 
G06F8/33 
G06N20/00 
G06N5/04 
G06T19/00 
G06F8/34 
G06F1/26 
G10L15/22 
G10L15/26 
H04W76/30";"G02C11/10 (EP) 
G02C9/00 (US) 
G06F1/163 (EP) 
G06F1/1684 (EP) 
G06F1/1686 (EP) 
G06F1/169 (EP) 
G06F21/577 (US) 
G06F3/011 (EP) 
G06F3/017 (EP) 
G06F8/33 (EP,US) 
G06N20/00 (US) 
G06N5/04 (US) 
G06T19/006 (US) 
G02B2027/014 (EP) 
G06F1/26 (US) 
G06F2221/033 (US) 
G06N20/00 (EP) 
G10L15/22 (US) 
G10L15/26 (US) 
H04W76/30 (US)";"2022-12-01 
2023-05-16";"2022-12-01";"084193053";
"142";"Adjustment method and device of augmented reality glasses, terminal equipment and storage medium";"ZHU CHENGMING";"BEIJING XIAOMI MOBILE SOFTWARE CO LTD";"CN119644588A";"2023-09-15";"G02B27/01";"";"2025-03-18";"2025-03-18";"094951620";
"143";"BALANCED AUGMENTED REALITY GLASSES WITH AUGMENTATION ATTACHMENTS";"OGISHITA NAOKI [US] 
STAFFORD JEFFREY R [US] 
OBANA KOICHI [US]";"SONY INTERACTIVE ENTERTAINMENT LLC [US]";"US11906749B1 
US2024077737A1";"2022-09-02";"G02B27/01";"G02B27/0176 (EP,US) 
G02B2027/0178 (EP,US)";"2024-03-07 
2024-02-20";"2024-02-20";"089908312";
"144";"Augmented reality glasses";"HUANG CHANGZHENG 
CHEN XI 
ZHOU YANMING 
QIU SONGXIN";"DONGGUAN EASY TO CONNECT INTERACTION INFORMATION SCIENCE AND TECH LIMITED RESPONSIBILITY COMPANY 
GUANGZHOU PHANTOM SCIENCE AND TECH LIMITED COMPANY";"CN114265201A";"2022-03-03";"G02B27/01";"";"2022-04-01";"2022-04-01";"080833973";
"145";"Integrated mixed reality head-mounted display system";"YAN DONGKUN";"BEIJING INDEMIND TECH CO LTD";"CN209373535U";"2018-11-02";"G06F3/01 
G06T19/00 
G06T5/50";"";"2019-09-10";"2019-09-10";"067835955";
"146";"Head-mounted display for augmented reality";"KUAI ZHENGLING 
ZHOU SANLONG 
ZHAI TINGTING";"HEFEI QIANSHI PHOTOELECTRIC TECH CO LTD";"CN105404005A";"2015-12-10";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0138 (CN) 
G02B2027/0178 (CN)";"2016-03-16";"2016-03-16";"055469592";
"147";"A hybrid reality head-mounted display system";"YAN DONGKUN";"BEIJING INDEMIND TECH CO LTD";"CN109358754A 
CN109358754B";"2018-11-02";"G06F3/01 
G06F3/14";"G06F3/011 (CN) 
G06F3/14 (CN) 
Y02B20/40 (EP)";"2019-02-19 
2023-03-24";"2019-02-19";"065344206";
"148";"HEAD MOUNTED DISPLAY DEVICE AND COMPUTER PROGRAM";"TAKAHASHI TATSUNORI 
YAMAGUCHI KAORU 
TAKANO MASAHIDE";"SEIKO EPSON CORP";"JP2019012537A 
JP6711379B2";"2018-08-22";"G06F3/01 
G06T19/00 
G09G5/00 
G09G5/36 
G06F3/0484";"";"2019-01-24 
2020-06-17";"2019-01-24";"065227917";
"149";"Optical system and augmented reality glasses";"CHENG DEWEN 
CHEN HAILONG 
WANG QIWEI";"SUZHOU NAIDEJIA TIANCHENG PHOTOELECTRIC TECH CO LTD 
BEIJING NED AR DISPLAY TECH CO LTD";"CN110426844A";"2019-08-09";"G02B27/00 
G02B27/01";"G02B27/0075 (CN) 
G02B27/0172 (CN) 
G02B2027/0118 (CN) 
G02B2027/0178 (CN)";"2019-11-08";"2019-11-08";"068415196";
"150";"AUDIO-VISUAL INFORMATION SYSTEM FOR SMART EYEWEAR";"MORTAZAVI MASOOD [US] 
IBTEHAZ NABIL [US]";"FUTUREWEI TECHNOLOGIES INC [US]";"WO2024031109A2 
WO2024031109A3";"2023-07-19";"G06F3/01";"G06F3/011 (EP) 
G06F3/013 (EP) 
G06F3/015 (EP) 
G06F3/017 (EP) 
G06F3/038 (EP) 
G06F2203/0381 (EP)";"2024-02-08 
2024-05-10";"2024-02-08";"089378687";
"151";"A head mounted display for bio-signal analysis and controlling method thereof";"LEE KWANG JIN 
CHO DONG RAE 
KIM JONG IN";"DEEPMEDI INC [KR]";"KR20250017916A";"2023-07-28";"A61B5/00 
A61B5/021 
A61B5/024 
A61B5/16";"A61B5/0013 (KR) 
A61B5/0077 (KR) 
A61B5/02108 (KR) 
A61B5/02416 (KR) 
A61B5/165 (KR) 
A61B5/6803 (KR) 
A61B5/7445 (KR)";"2025-02-04";"2025-02-04";"094605218";
"152";"AUGMENTED REALITY GLASSES";"KANG QING [CN] 
CAO YAYUN [CN] 
DU JIAWEI [CN]";"NINGBO SUNNY OPOTECH CO LTD [CN]";"WO2024140392A1";"2022-12-30";"G02B27/01";"G02B27/01 (EP) 
G02B27/0176 (CN) 
G02B2027/015 (CN) 
G02B2027/0169 (CN) 
G02B2027/0178 (CN)";"2024-07-04";"2024-07-04";"091716450";
"153";"AR augmented reality glasses";"TIAN AIXUE";"SANHE GUANGYI TECH CO LTD";"CN207232532U";"2017-10-16";"G02B27/01";"";"2018-04-13";"2018-04-13";"061850664";
"154";"Augmented reality glasses based on MicroLED display";"ZHOU SHUAISHUAI 
GUO WEIJIE 
ZHENG XI 
CHEN ZHONG 
LYU YIJUN 
GAO YULIN 
ZHENG ZHENYAO";"UNIV XIAMEN";"CN113589527A 
CN113589527B";"2021-07-12";"G02B27/01";"G02B27/017 (CN) 
G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2021-11-02 
2023-03-10";"2021-11-02";"078246941";
"155";"SYSTEM AND METHOD FOR OPTICAL CALIBRATION OF A HEAD-MOUNTED DISPLAY";"XIONG YINGEN [US] 
PERI CHRISTOPHER A [US]";"SAMSUNG ELECTRONICS CO LTD [KR]";"US11900845B2 
US2023137199A1";"2021-10-28";"G09G3/20";"G09G3/003 (EP) 
G09G3/2003 (US) 
G09G2320/0242 (EP,US) 
G09G2320/0285 (EP,US) 
G09G2354/00 (EP) 
G09G3/002 (EP)";"2023-05-04 
2024-02-13";"2023-05-04";"086145377";
"156";"Large-depth-of-field variable-viewing-angle three-dimensional display module and augmented reality glasses thereof";"AI LINGYU 
WANG XIAODONG 
YOU YUE 
WANG XIN'AO 
FU XINTIAN 
ZHAO SHIHAN";"UNIV JIANGNAN";"CN111781739A 
CN111781739B";"2020-06-23";"G02B27/00 
G02B27/01 
G02B30/27";"G02B27/0075 (CN) 
G02B27/0172 (CN) 
G02B27/0176 (CN) 
G02B30/27 (CN)";"2020-10-16 
2022-02-01";"2020-10-16";"072757704";
"157";"AR GLASSES APPARATUS HAVING AN AUTOMATIC IPD ADJUSTMENT USING GESTURE AND AUTOMATIC IPD ADJUSTMENT METHOD USING GESTURE FOR AR GLASSES APPARATUS";"CHIWON CHOI 
DONG HO HAM";"P&C SOLUTION [KR]";"KR102613391B1 
KR20230098742A";"2021-12-26";"G02B27/00 
G02B27/01 
G06F3/01";"G02B27/0093 (KR) 
G02B27/017 (KR) 
G06F3/017 (KR) 
G02B2027/0154 (KR) 
G02B2027/0187 (KR)";"2023-07-04 
2023-12-13";"2023-07-04";"087156384";
"158";"METHOD AND SYSTEM FOR DATA LABELING USING AUGMENTED REALITY GLASSES DEVICE";"CHOI CHIWON [KR] 
KIM SEHO [KR]";"P&C SOLUTION CO LTD [KR]";"WO2023224239A1";"2022-05-20";"G02B27/01 
G06F3/00 
G06F3/01 
G06Q10/06 
G06V10/778 
G06V20/20 
G06V20/70";"G02B27/01 (EP) 
G02B27/0172 (KR) 
G06F3/00 (EP) 
G06F3/005 (KR) 
G06F3/01 (EP) 
G06F3/011 (KR) 
G06F3/017 (KR) 
G06Q10/06 (EP) 
G06Q10/0639 (KR) 
G06V10/778 (EP) 
G06V10/7788 (KR) 
G06V20/20 (EP,KR) 
G06V20/70 (EP,KR) 
G02B2027/0178 (KR)";"2023-11-23";"2023-11-23";"088835341";
"159";"A HEAD MOUNTED DISPLAY AND A METHOD FOR PROVIDING CONTENTS USING THE SAME";"PARK SOO WANG [KR]";"SOCIAL NETWORK CO LTD [KR]";"KR20160008916A";"2014-07-15";"G02B27/02";"G02B27/0172 (KR) 
G02B27/022 (KR) 
G06T19/006 (KR) 
G02B2027/0138 (KR) 
G02B2027/014 (KR) 
G02B2027/0178 (KR)";"2016-01-25";"2016-01-25";"055306866";
"160";"OPACITY FILTER FOR SEE-THROUGH HEAD MOUNTED DISPLAY";"BAR-ZEEV AVI [US] 
CROCCO BOB [US] 
KIPMAN ALEX ABEN-ATHAR [US] 
LEWIS JOHN [US]";"BAR-ZEEV AVI [US] 
CROCCO BOB [US] 
KIPMAN ALEX ABEN-ATHAR [US] 
LEWIS JOHN [US] 
MICROSOFT CORP [US]";"US2012068913A1 
US8941559B2";"2010-09-21";"G09G5/00 
G02B26/02 
G02B27/01 
G02B27/14 
G06F3/038 
G06G5/00 
G09C5/00";"G02B26/026 (EP,US) 
G02B27/017 (EP,US) 
G02B27/0172 (EP,US) 
G02B27/02 (KR) 
G06T19/006 (US) 
G09G3/001 (EP,US) 
G09G3/2003 (EP,US) 
G02B2027/0118 (EP,US) 
G02B2027/0178 (US) 
G02B2027/0187 (EP,US) 
G09G2300/023 (EP,US)";"2012-03-22 
2015-01-27";"2012-03-22";"045817271";
"161";"CAPTURING AUGMENTED REALITY ON A HEAD MOUNTED DISPLAY";"GOSLIN MICHAEL P [US] 
NOCON NATHAN D [US] 
HSU JONATHAN RD [US] 
HASELTINE ERIC C [US] 
BAUMBACH ELLIOTT H [US] 
HSU JONATHAN R D [US]";"DISNEY ENTPR INC [US]";"US11508127B2 
US2020151956A1";"2018-11-13";"G02B27/01 
G06T19/00";"G02B27/017 (US) 
G02B27/0172 (EP) 
G06T19/006 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US)";"2020-05-14 
2022-11-22";"2020-05-14";"070550536";
"162";"HEAD-MOUNTED DISPLAY APPARATUS WITH LOW-NOISE GEAR FOR STRAP ADJUSTMENT";"CHIWON CHOI 
DONG HO HAM";"P&C SOLUTION [KR]";"KR102564380B1 
KR20230071605A";"2021-11-16";"C09D5/00 
G02B27/01";"C09D175/04 (KR) 
C09D5/00 (KR) 
G02B27/0176 (KR)";"2023-05-23 
2023-08-08";"2023-05-23";"086544351";
"163";"Augmented reality glasses";"YU CHI-CHANG [TW] 
HU HAN-CHIH [TW] 
WU CHENG-WEI [TW]";"QUANTA COMP INC [TW]";"TWM677081U";"2025-08-01";"G02B27/01 
G02B27/18";"";"2025-11-11";"2025-11-11";"098602566";
"164";"Electric power inspection system based on augmented reality AR glasses";"SHEN ZHUFU 
HU HAIMIN 
YU JINHUA 
ZHANG KUN 
CAI ZHENQI 
TAO JIAWEI 
CAI REN 
LU JUN 
CHEN WEI 
ZHOU QI 
ZHAO CAIWEI 
HUANG LICHENG";"STATE GRID SHANGHAI MUNICIPAL ELECTRIC POWER CO 
SHANGHAI FUZE ENERGY TECH CO LTD";"CN115864199A";"2022-12-13";"H02B3/00 
H02J13/00";"";"2023-03-28";"2023-03-28";"085672681";
